Mileage,Price,Make,Type,Cyl,Liter,Doors,Cruise,Sound,Leather
12090,38325,SAAB,Convertible,4,2,2,1,1,1
12251,34819,SAAB,Convertible,4,2,2,1,0,0
13162,38167,SAAB,Convertible,4,2,2,1,0,1
14278,30661,SAAB,Wagon,4,2.3,4,1,0,1
14281,27285,SAAB,Sedan,4,2,4,1,1,1
14568,30122,SAAB,Sedan,4,2,4,1,1,1
14613,28416,SAAB,Sedan,4,2.3,4,1,0,1
15050,30444,SAAB,Wagon,4,2.3,4,1,0,1
15087,31003,SAAB,Sedan,4,2.3,4,1,1,1
16068,26338,SAAB,Sedan,4,2,4,1,0,0
16088,37384,SAAB,Convertible,4,2,2,1,0,1
16225,30322,SAAB,Wagon,4,2.3,4,1,1,1
16688,26775,SAAB,Sedan,4,2,4,1,0,0
16956,31849,SAAB,Wagon,4,2.3,4,1,0,1
16975,32650,SAAB,Wagon,4,2.3,4,1,1,1
17317,31153,SAAB,Wagon,4,2.3,4,1,0,1
17319,27060,SAAB,Sedan,4,2,4,1,0,1
17381,33382,SAAB,Convertible,4,2,2,1,1,1
17431,25959,SAAB,Wagon,4,2.5,4,1,0,1
17590,33359,SAAB,Convertible,4,2,2,1,1,1
17673,30960,SAAB,Wagon,4,2.3,4,1,1,1
17711,34355,SAAB,Convertible,4,2,2,1,1,0
18187,31085,SAAB,Wagon,4,2.3,4,1,1,1
18195,36339,SAAB,Convertible,4,2,2,1,1,0
18464,29987,SAAB,Wagon,4,2.3,4,1,0,1
18805,31157,SAAB,Wagon,4,2.3,4,1,1,1
18930,33587,SAAB,Convertible,4,2,2,1,0,1
19112,32737,SAAB,Convertible,4,2,2,1,1,1
19569,25300,SAAB,Sedan,4,2,4,1,1,0
19830,29908,SAAB,Wagon,4,2.3,4,1,1,1
19854,28186,SAAB,Sedan,4,2.3,4,1,1,1
20015,29961,SAAB,Wagon,4,2.3,4,1,1,1
20103,31554,SAAB,Wagon,4,2.3,4,1,1,1
20208,25618,SAAB,Sedan,4,2,4,1,0,1
20685,28328,SAAB,Wagon,4,2.3,4,1,0,1
20907,29198,SAAB,Wagon,4,2.3,4,1,0,1
20925,33541,SAAB,Convertible,4,2,2,1,0,1
21160,25791,SAAB,Sedan,4,2,4,1,1,1
21167,35580,SAAB,Convertible,4,2,2,1,1,0
21208,31971,SAAB,Convertible,4,2,2,1,1,0
21266,24897,SAAB,Sedan,4,2,4,1,1,0
21293,35304,SAAB,Convertible,4,2,2,1,0,1
21433,25997,SAAB,Sedan,4,2,4,1,1,1
21545,29321,SAAB,Wagon,4,2.3,4,1,0,1
21616,23274,SAAB,Wagon,4,2.5,4,1,1,0
21661,33287,SAAB,Convertible,4,2,2,1,0,1
21822,29482,SAAB,Wagon,4,2.3,4,1,1,1
21960,29115,SAAB,Wagon,4,2.3,4,1,0,1
22021,28205,SAAB,Sedan,4,2.3,4,1,1,1
22052,30076,SAAB,Sedan,4,2.3,4,1,1,1
22105,29914,SAAB,Wagon,4,2.3,4,1,0,1
22189,26790,SAAB,Sedan,4,2,4,1,0,0
22272,25148,SAAB,Sedan,4,2,4,1,1,1
22298,30575,SAAB,Wagon,4,2.3,4,1,1,1
22328,28292,SAAB,Sedan,4,2,4,1,1,0
22479,30732,SAAB,Convertible,4,2,2,1,0,0
22590,26653,SAAB,Sedan,4,2.3,4,1,1,1
22598,27109,SAAB,Sedan,4,2,4,1,0,1
22814,24852,SAAB,Sedan,4,2,4,1,1,1
22881,27611,SAAB,Sedan,4,2.3,4,1,1,1
23055,26698,SAAB,Sedan,4,2.3,4,1,1,1
23143,29844,SAAB,Sedan,4,2.3,4,1,1,1
23204,27241,SAAB,Sedan,4,2.3,4,1,1,1
23426,30272,SAAB,Wagon,4,2.3,4,1,1,1
23553,32076,SAAB,Convertible,4,2,2,1,1,0
23635,30315,SAAB,Convertible,4,2,2,1,0,0
24031,34393,SAAB,Convertible,4,2,2,1,0,1
24559,31969,SAAB,Convertible,4,2,2,1,0,0
24738,27703,SAAB,Sedan,4,2.3,4,1,1,1
25049,30167,SAAB,Convertible,4,2,2,1,0,0
25218,23329,SAAB,Wagon,4,2.5,4,1,0,1
25247,28433,SAAB,Sedan,4,2.3,4,1,1,1
25357,26792,SAAB,Wagon,4,2.3,4,1,0,1
25380,28678,SAAB,Wagon,4,2.3,4,1,0,1
25420,33984,SAAB,Convertible,4,2,2,1,0,0
26276,28055,SAAB,Sedan,4,2.3,4,1,1,1
26345,24802,SAAB,Sedan,4,2,4,1,1,1
26400,27256,SAAB,Sedan,4,2,4,1,1,0
26503,28829,SAAB,Wagon,4,2.3,4,1,0,1
26786,27789,SAAB,Wagon,4,2.3,4,1,0,1
27015,24174,SAAB,Sedan,4,2,4,1,0,0
27051,33248,SAAB,Convertible,4,2,2,1,0,1
27558,30251,SAAB,Convertible,4,2,2,1,0,1
27600,23733,SAAB,Sedan,4,2,4,1,1,0
27674,24063,SAAB,Sedan,4,2,4,1,1,1
27686,23250,SAAB,Sedan,4,2,4,1,0,0
28598,28503,SAAB,Sedan,4,2.3,4,1,1,1
31344,24405,SAAB,Sedan,4,2.3,4,1,1,1
31655,29143,SAAB,Convertible,4,2,2,1,1,1
31773,26955,SAAB,Wagon,4,2.3,4,1,0,1
32477,29612,SAAB,Convertible,4,2,2,1,1,1
34175,25267,SAAB,Sedan,4,2,4,1,1,0
34269,26012,SAAB,Wagon,4,2.3,4,1,1,1
35157,27666,SAAB,Convertible,4,2,2,1,0,0
36557,25845,SAAB,Wagon,4,2.3,4,1,1,1
38717,24912,SAAB,Sedan,4,2.3,4,1,0,1
40719,24903,SAAB,Wagon,4,2.3,4,1,1,1
48991,28778,SAAB,Convertible,4,2,2,1,1,1
50387,22245,SAAB,Sedan,4,2,4,1,0,1
